Track,Artist,Mood
Sick Thoughts,Lewis Blissett,Angry
Mo Bamba,Sheck Wes,Angry
MONTERO (Call Me By Your Name),Lil Nas X,Angry
Foot Fungus,Ski Mask The Slump God,Angry
Shhh (Pew Pew) - Slowed + Reverb,Young Fanatic,Angry
Rasputin,Majestic,Angry
Astronaut In The Ocean,Masked Wolf,Angry
Whoopty,CJ,Angry
Streets,Doja Cat,Angry
Goosebumps - Remix,Travis Scott,Angry
Paparazzi,Kim Dracula,Angry
hot girl bummer,blackbear,Angry
Runnin Low,Kieran Alleyne,Angry
Моя голова винтом (My head is spinning like a screw),kostromin,Angry
Such a Whore (Stellular Remix),JVLA,Angry
Such a Whore (Instrumental),JVLA,Angry
Minimum - Umut Dogan Remix,Ямаджи,Angry
Минимум - The Sumo Remix,Ямаджи,Angry
Superlife,Lox Chatterbox,Angry
Invincible,Pop Smoke,Angry
How She Walk,TheGrimLynn,Angry
Arabian Night,Żwirek,Angry
Monster,Besomorph,Angry
PHONKY TOWN,PlayaPhonk,Angry
Goodbye (feat. Lyse) - Slow Version,Feder,Angry
Blood // Water,grandson,Angry
Fed Up,Ghostemane,Angry
Kill Yourself (Part III),$uicideboy$,Angry
Venom - Music From The Motion Picture,Eminem,Angry
The Electro Suite,Various Artists,Angry
Get You The Moon (feat. Snøw),Kina,Disgust
Jocelyn Flores,XXXTENTACION,Disgust
Someone You Loved,Lewis Capaldi,Disgust
how to live,yaeow,Disgust
It's You,Ali Gatie,Disgust
Loosing Interest,Timmies,Disgust
Tell Me Goodbye,ORYL,Disgust
Dead and Cold,ELIJAH MOON,Disgust
Heather,Conan Gray,Disgust
Reckless,Madison Beer,Disgust
paradise,cliffe,Disgust
Me Too,April Jai,Disgust
Six Feet Under,Billie Eilish,Disgust
Circles,Post Malone,Disgust
All Alone,Sølace,Disgust
Nobody Knows My Name,DANIEL,Disgust
Everybody Dies In Their Nightmares,XXXTENTACION,Disgust
More to the Story,Kristina Nichol,Disgust
talk with me (about it),Brvno,Disgust
Heartbreak Anniversary,Giveon,Disgust
i haven't let go,RNAQ,Disgust
idfc,blackbear,Disgust
Till Forever Falls Apart,Ashe,Disgust
I Need You,ORYL,Disgust
Someone Like You,Adele,Disgust
Train Wreck,James Arthur,Disgust
When I'm Gone,Wikw,Disgust
Goodbye,Rachel Lorin,Disgust
bad ones,Tate McRae,Disgust
Helluvaride,Oceans Ahead,Disgust
Arcade,Duncan Laurence,Disgust
Therapy,Tasty,Disgust
r u ok,Tate McRae,Disgust
Goddess Kinda Power - Acoustic Version,Josefine,Disgust
Horrors in the Dark,Sofi Gev,Disgust
Like the Weather,Hand Made House,Disgust
Happier,Ed Sheeran,Disgust
Get to Me,Emma Charles,Disgust
Skin,Sabrina Carpenter,Disgust
Self Destructive,Julia Rizik,Disgust
On The Low,Wovy,Disgust
7 Years,Lukas Graham,Disgust
Oxygen,Grace Gaustad,Disgust
slower,Tate McRae,Disgust
What I Need,ORYL,Disgust
drivers license,Olivia Rodrigo,Disgust
Lonely (with benny blanco),Justin Bieber,Disgust
Half A Man,Dean Lewis,Disgust
